City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Presidente Medici,BR,2022-05-06 05:16:19,-11.1753,-61.9014,68.92,92,12,2.68
1,Ugoofaaru,MV,2022-05-06 05:16:20,5.6667,73.0,85.1,73,100,16.91
2,Whitehorse,CA,2022-05-06 05:15:15,60.7161,-135.0538,41.77,45,75,3.44
3,Georgetown,MY,2022-05-06 05:11:22,5.4112,100.3354,89.53,66,20,6.91
4,Tasiilaq,GL,2022-05-06 05:16:21,65.6145,-37.6368,21.36,70,11,6.82
5,Rikitea,PF,2022-05-06 05:16:21,-23.1203,-134.9692,77.65,86,66,16.64
6,Busselton,AU,2022-05-06 05:16:22,-33.65,115.3333,66.22,42,0,11.41
7,Atuona,PF,2022-05-06 05:16:22,-9.8,-139.0333,79.09,76,72,15.37
8,Ulaanbaatar,MN,2022-05-06 05:12:38,47.9077,106.8832,51.93,19,20,4.47
9,Mataura,NZ,2022-05-06 05:16:23,-46.1927,168.8643,62.47,84,100,1.95
10,Castro,BR,2022-05-06 05:16:24,-24.7911,-50.0119,52.59,96,4,2.24
11,Yellowknife,CA,2022-05-06 05:15:18,62.456,-114.3525,46.92,57,75,2.3
12,Rusera,IN,2022-05-06 05:16:24,25.75,86.0333,96.06,33,7,6.44
13,Carutapera,BR,2022-05-06 05:16:25,-1.195,-46.02,74.64,94,73,4.29
14,Vestmannaeyjar,IS,2022-05-06 05:16:25,63.4427,-20.2734,38.77,72,35,19.84
15,Albany,US,2022-05-06 05:15:06,42.6001,-73.9662,53.46,61,100,3.36
16,Sovetskiy,RU,2022-05-06 05:16:26,61.3614,63.5842,35.28,57,100,13.56
17,Sydney,AU,2022-05-06 05:13:35,-33.8679,151.2073,69.89,39,0,9.22
18,Xiongzhou,CN,2022-05-06 05:16:27,25.1167,114.3,88.23,45,91,3.85
19,Valparaiso,CL,2022-05-06 05:14:48,-33.0393,-71.6273,56.48,84,100,3.44
20,Ushuaia,AR,2022-05-06 05:16:27,-54.8,-68.3,37.29,83,90,8.68
21,Nikolskoye,RU,2022-05-06 05:16:28,59.7035,30.7861,49.91,61,87,7.56
22,Dikson,RU,2022-05-06 05:16:29,73.5069,80.5464,16.27,90,100,23.8
23,Namanga,KE,2022-05-06 05:16:29,-2.5433,36.7905,65.3,81,50,6.62
24,Vardo,NO,2022-05-06 05:16:30,70.3705,31.1107,35.82,96,100,12.35
25,Victoria,HK,2022-05-06 05:16:30,22.2855,114.1577,82.45,95,12,10.96
26,Hilo,US,2022-05-06 05:11:49,19.7297,-155.09,80.28,96,100,4.61
27,Kapaa,US,2022-05-06 05:16:31,22.0752,-159.319,78.78,86,100,16.11
28,Ilulissat,GL,2022-05-06 05:12:33,69.2167,-51.1,14.02,62,2,0.0
29,Cidreira,BR,2022-05-06 05:16:32,-30.1811,-50.2056,63.36,67,74,3.38
30,Norman Wells,CA,2022-05-06 05:16:32,65.282,-126.8329,35.64,69,75,9.22
31,Chokurdakh,RU,2022-05-06 05:16:33,70.6333,147.9167,28.81,88,100,10.13
32,Barcelos,PT,2022-05-06 05:16:33,41.5388,-8.6151,57.85,79,13,3.49
33,Khatanga,RU,2022-05-06 05:16:34,71.9667,102.5,21.24,83,69,18.97
34,Carnarvon,AU,2022-05-06 05:16:34,-24.8667,113.6333,84.27,30,0,11.5
35,Roald,NO,2022-05-06 05:16:35,62.5833,6.1333,52.72,71,75,14.97
36,Visby,SE,2022-05-06 05:16:35,57.6409,18.296,50.22,76,40,6.91
37,Mogadishu,SO,2022-05-06 05:08:08,2.0371,45.3438,82.72,77,64,13.76
38,Qaanaaq,GL,2022-05-06 05:16:36,77.484,-69.3632,11.8,77,53,8.61
39,Barrow,US,2022-05-06 05:15:02,71.2906,-156.7887,17.62,86,100,17.27
40,Boende,CD,2022-05-06 05:16:37,-0.2167,20.8667,70.02,99,96,1.34
41,Kruisfontein,ZA,2022-05-06 05:06:46,-34.0033,24.7314,57.27,93,10,8.77
42,Avarua,CK,2022-05-06 05:16:37,-21.2078,-159.775,77.05,88,40,1.14
43,Nhulunbuy,AU,2022-05-06 05:16:38,-12.2333,136.7667,84.81,65,75,21.85
44,Along,IN,2022-05-06 05:16:38,28.1667,94.7667,88.9,44,5,2.06
45,Ribeira Grande,PT,2022-05-06 05:08:08,38.5167,-28.7,62.83,91,100,28.81
46,Bilibino,RU,2022-05-06 05:17:39,68.0546,166.4372,34.02,91,100,2.86
47,Puerto Ayora,EC,2022-05-06 05:17:39,-0.7393,-90.3518,72.79,94,100,6.29
48,Geraldton,AU,2022-05-06 05:17:40,-28.7667,114.6,79.21,24,0,10.36
49,Lebu,CL,2022-05-06 05:17:40,-37.6167,-73.65,51.04,87,0,5.14
50,East London,ZA,2022-05-06 05:17:41,-33.0153,27.9116,63.54,59,0,3.44
51,Tadine,NC,2022-05-06 05:17:41,-21.55,167.8833,76.75,76,19,17.11
52,Hailun,CN,2022-05-06 05:17:42,47.45,126.9333,46.67,72,98,10.07
53,Srednekolymsk,RU,2022-05-06 05:17:42,67.45,153.6833,33.58,100,100,4.18
54,Rincon,US,2022-05-06 05:17:43,32.296,-81.2354,77.86,83,40,8.05
55,Hobart,AU,2022-05-06 05:13:07,-42.8794,147.3294,57.06,75,40,11.5
56,Coquimbo,CL,2022-05-06 05:09:15,-29.9533,-71.3436,58.01,86,100,2.37
57,Mizdah,LY,2022-05-06 05:17:44,31.4451,12.9801,69.98,24,99,11.16
58,Acandi,CO,2022-05-06 05:17:44,8.5063,-77.2778,74.25,90,100,3.31
59,Arraial Do Cabo,BR,2022-05-06 05:13:14,-22.9661,-42.0278,73.62,80,0,22.57
60,Esperance,AU,2022-05-06 05:17:45,-33.8667,121.9,65.23,47,15,7.05
61,Cayenne,GF,2022-05-06 05:14:21,4.9333,-52.3333,78.1,1,100,3.44
62,Cape Town,ZA,2022-05-06 05:16:10,-33.9258,18.4232,58.75,93,20,6.91
63,Punta Arenas,CL,2022-05-06 05:17:46,-53.15,-70.9167,39.11,80,28,20.18
64,Sortavala,RU,2022-05-06 05:17:46,61.7053,30.6918,43.45,69,99,8.59
65,Dingle,PH,2022-05-06 05:17:47,10.9995,122.6711,91.0,54,90,12.71
66,Riyadh,SA,2022-05-06 05:17:47,24.6877,46.7219,91.54,15,60,10.89
67,New Norfolk,AU,2022-05-06 05:17:48,-42.7826,147.0587,56.7,89,96,3.27
68,San Quintin,MX,2022-05-06 05:15:55,30.4833,-115.95,60.48,90,13,9.98
69,Nome,US,2022-05-06 05:10:46,64.5011,-165.4064,40.15,80,0,5.75
70,Tuatapere,NZ,2022-05-06 05:17:48,-46.1333,167.6833,60.26,79,99,3.15
71,Xuanwu,CN,2022-05-06 05:17:49,32.069,118.8138,85.95,34,0,4.52
72,Lodja,CD,2022-05-06 05:17:49,-3.4833,23.4333,70.65,86,70,1.45
73,Olafsvik,IS,2022-05-06 05:17:50,64.8945,-23.7142,34.93,63,31,11.27
74,Egvekinot,RU,2022-05-06 05:17:50,66.3167,-179.1667,20.71,92,86,2.77
75,Kurskaya,RU,2022-05-06 05:17:51,44.05,44.45,51.51,97,100,8.08
76,Bambous Virieux,MU,2022-05-06 05:17:51,-20.3428,57.7575,79.05,78,75,17.27
77,Lazaro Cardenas,MX,2022-05-06 05:15:13,17.9583,-102.2,75.56,83,47,3.76
78,Saint Anthony,US,2022-05-06 05:17:52,45.0205,-93.218,54.21,69,0,1.01
79,Port Alfred,ZA,2022-05-06 05:17:53,-33.5906,26.891,62.19,90,0,3.0
80,Aykhal,RU,2022-05-06 05:17:53,66.0,111.5,34.79,100,100,22.1
81,Zhangye,CN,2022-05-06 05:17:54,38.9342,100.4517,76.59,20,82,5.77
82,Sao Joao Da Barra,BR,2022-05-06 05:17:54,-21.6403,-41.0511,71.01,84,7,10.13
83,Comacchio,IT,2022-05-06 05:13:29,44.6975,12.1858,59.0,92,100,20.4
84,Upernavik,GL,2022-05-06 05:17:55,72.7868,-56.1549,0.25,87,63,4.25
85,Souillac,MU,2022-05-06 05:17:55,-20.5167,57.5167,79.18,78,75,17.27
86,Cabo San Lucas,MX,2022-05-06 05:15:30,22.8909,-109.9124,72.61,71,0,10.42
87,Aasiaat,GL,2022-05-06 05:17:56,68.7098,-52.8699,6.06,99,48,5.17
88,Ngaoundere,CM,2022-05-06 05:17:56,7.3167,13.5833,63.91,92,100,3.74
89,Narsaq,GL,2022-05-06 05:17:57,60.9167,-46.05,35.82,96,100,11.27
90,Tam Ky,VN,2022-05-06 05:17:57,15.5667,108.4833,81.66,83,74,7.58
91,Tuktoyaktuk,CA,2022-05-06 05:17:58,69.4541,-133.0374,26.6,93,100,16.11
92,Saint-Pierre,RE,2022-05-06 05:15:17,-21.3393,55.4781,80.28,69,12,27.63
93,Neryungri,RU,2022-05-06 05:18:58,56.6709,124.6491,35.1,57,99,12.39
94,Zeya,RU,2022-05-06 05:18:59,53.75,127.2667,49.03,25,68,14.2
95,Iqaluit,CA,2022-05-06 05:18:59,63.7506,-68.5145,11.93,79,40,18.41
96,Mareeba,AU,2022-05-06 05:19:00,-17.0,145.4333,82.44,66,97,6.15
97,Nikolayevsk-Na-Amure,RU,2022-05-06 05:19:00,53.1406,140.73,34.47,100,100,1.88
98,Tutoia,BR,2022-05-06 05:19:01,-2.7619,-42.2744,77.47,87,89,8.23
99,Mount Gambier,AU,2022-05-06 05:19:01,-37.8333,140.7667,54.05,79,96,9.82
100,Omboue,GA,2022-05-06 05:17:24,-1.5746,9.2618,75.74,95,100,3.85
101,Zyryanka,RU,2022-05-06 05:19:02,65.75,150.85,33.69,99,100,10.2
102,Kodiak,US,2022-05-06 05:18:32,57.79,-152.4072,44.11,81,100,10.36
103,Wanning,CN,2022-05-06 05:19:03,18.8003,110.3967,79.83,87,58,8.79
104,Kargil,IN,2022-05-06 05:19:03,34.5667,76.1,48.25,38,3,2.55
105,Kaitangata,NZ,2022-05-06 05:19:04,-46.2817,169.8464,58.64,76,100,2.42
106,Progreso,MX,2022-05-06 05:19:04,21.2833,-89.6667,83.1,72,21,12.17
107,Vilhena,BR,2022-05-06 05:19:05,-12.7406,-60.1458,64.38,77,4,2.73
108,Namibe,AO,2022-05-06 05:19:05,-15.1961,12.1522,76.57,52,0,0.18
109,Yar-Sale,RU,2022-05-06 05:19:06,66.8333,70.8333,23.86,86,90,12.84
110,Rocha,UY,2022-05-06 05:19:06,-34.4833,-54.3333,51.03,90,63,5.57
111,Iracoubo,GF,2022-05-06 05:19:07,5.4802,-53.2011,77.31,90,100,8.19
112,Oneida,US,2022-05-06 05:16:51,43.2001,-75.4663,49.73,82,0,0.0
113,Taoudenni,ML,2022-05-06 05:19:08,22.6783,-3.9836,85.32,12,62,7.2
114,Honningsvag,NO,2022-05-06 05:19:08,70.9821,25.9704,38.95,75,100,17.27
115,Bluff,NZ,2022-05-06 05:19:09,-46.6,168.3333,62.8,81,100,2.8
116,Kushima,JP,2022-05-06 05:19:09,31.4583,131.2333,70.95,79,100,10.54
117,Primo Tapia,MX,2022-05-06 05:19:10,32.22,-116.9172,67.87,68,4,7.94
118,Waitara,NZ,2022-05-06 05:17:13,-38.925,174.25,65.23,74,0,7.72
119,Vaini,TO,2022-05-06 05:19:10,-21.2,-175.2,77.16,88,40,5.75
120,Port Elizabeth,ZA,2022-05-06 05:16:13,-33.918,25.5701,62.31,93,20,14.97
121,Provideniya,RU,2022-05-06 05:19:11,64.3833,-173.3,32.36,80,0,2.24
122,Landeck,AT,2022-05-06 05:19:12,47.1301,10.5636,47.14,95,100,0.74
123,Ahuimanu,US,2022-05-06 05:19:12,21.4447,-157.8378,78.51,84,100,12.66
124,Clyde River,CA,2022-05-06 05:19:13,70.4692,-68.5914,3.43,85,0,3.44
125,San Juan,AR,2022-05-06 05:15:52,-31.5375,-68.5364,61.38,38,94,4.83
126,Tual,ID,2022-05-06 05:19:13,-5.6667,132.75,84.54,71,99,11.36
127,Brainerd,US,2022-05-06 05:19:14,46.358,-94.2008,55.42,35,0,3.44
128,Butaritari,KI,2022-05-06 05:19:15,3.0707,172.7902,81.59,72,51,17.22
129,Praia Da Vitoria,PT,2022-05-06 05:19:15,38.7333,-27.0667,63.75,88,75,21.25
130,Solnechnyy,RU,2022-05-06 05:19:16,50.7214,136.6319,36.46,97,100,3.15
131,Rock Sound,BS,2022-05-06 05:19:18,24.9,-76.2,77.13,73,0,5.66
132,Santa Rosa,PH,2022-05-06 05:19:19,14.3122,121.1114,94.98,62,15,13.38
133,Virginia Beach,US,2022-05-06 05:07:10,36.8529,-75.978,61.02,88,75,0.0
134,Aksu,CN,2022-05-06 05:19:20,41.1231,80.2644,84.87,15,47,3.0
135,Teya,RU,2022-05-06 05:10:43,60.3778,92.6267,53.83,48,52,3.78
136,Jamestown,US,2022-05-06 05:19:20,42.097,-79.2353,55.04,61,100,5.75
137,Waupun,US,2022-05-06 05:20:21,43.6333,-88.7296,48.7,67,93,6.55
138,Meulaboh,ID,2022-05-06 05:20:21,4.1363,96.1285,77.04,96,100,12.48
139,Flagstaff,US,2022-05-06 05:20:22,35.1981,-111.6513,56.12,25,0,3.44
140,Hualmay,PE,2022-05-06 05:20:22,-11.0964,-77.6139,63.91,90,23,7.74
141,Kahului,US,2022-05-06 05:19:08,20.8947,-156.47,75.22,81,40,26.46
142,West Des Moines,US,2022-05-06 05:17:09,41.572,-93.7453,53.74,87,100,8.05
143,Mormugao,IN,2022-05-06 05:20:24,15.4,73.8,87.06,66,20,13.8
144,Moissala,TD,2022-05-06 05:20:24,8.3404,17.7663,73.87,76,87,4.83
145,Los Llanos De Aridane,ES,2022-05-06 05:20:25,28.6585,-17.9182,60.55,81,20,9.22
146,Buchanan,LR,2022-05-06 05:20:25,5.8808,-10.0467,77.49,90,92,3.2
147,Saskylakh,RU,2022-05-06 05:20:26,71.9167,114.0833,30.2,97,100,5.21
148,Moundou,TD,2022-05-06 05:20:26,8.5667,16.0833,77.68,62,87,4.68
149,Fortuna,US,2022-05-06 05:20:27,40.5982,-124.1573,58.66,86,100,14.97
150,Zhumadian,CN,2022-05-06 05:20:27,32.9794,114.0294,89.22,33,0,9.1
151,Kerouane,GN,2022-05-06 05:18:14,9.2667,-9.0167,70.66,85,100,4.07
152,Saint George,US,2022-05-06 05:19:44,37.1041,-113.5841,75.94,20,0,8.99
153,Tomball,US,2022-05-06 05:15:41,30.0972,-95.6161,71.11,95,0,0.0
154,Nuuk,GL,2022-05-06 05:17:12,64.1835,-51.7216,29.01,64,100,13.8
155,Severo-Kurilsk,RU,2022-05-06 05:20:28,50.6789,156.125,37.44,81,59,5.08
156,Mae Hong Son,TH,2022-05-06 05:20:29,19.3003,97.9685,86.14,66,40,4.61
157,Zhanakorgan,KZ,2022-05-06 05:20:29,43.9098,67.2495,82.0,27,4,3.0
158,Letnik,RU,2022-05-06 05:20:30,46.011,41.2657,45.86,86,100,14.23
159,Hasaki,JP,2022-05-06 05:20:30,35.7333,140.8333,77.29,71,100,10.58
160,Nanortalik,GL,2022-05-06 05:20:31,60.1432,-45.2371,34.29,97,100,14.34
161,Lensk,RU,2022-05-06 05:20:31,60.7253,114.9278,48.34,65,100,13.38
162,Belaya Gora,RU,2022-05-06 05:20:32,68.5333,146.4167,31.73,99,100,8.23
163,Gedo,ET,2022-05-06 05:20:32,9.0167,37.45,62.91,36,30,1.28
164,Bredasdorp,ZA,2022-05-06 05:20:33,-34.5322,20.0403,55.83,93,37,5.91
165,Pentecoste,BR,2022-05-06 05:20:33,-3.7928,-39.2703,73.38,91,93,2.93
166,Gusau,NG,2022-05-06 05:20:34,12.1628,6.6614,81.1,55,100,8.08
167,Hokitika,NZ,2022-05-06 05:20:34,-42.7167,170.9667,59.23,87,61,3.2
168,Comodoro Rivadavia,AR,2022-05-06 05:19:32,-45.8667,-67.5,53.46,40,0,26.46
169,Tolaga Bay,NZ,2022-05-06 05:20:35,-38.3667,178.3,58.69,76,18,2.3
170,Korem,ET,2022-05-06 05:20:35,12.5058,39.5228,63.91,32,19,4.61
171,Sao Jose Da Coroa Grande,BR,2022-05-06 05:10:49,-8.8978,-35.1478,77.95,82,100,8.28
172,Prince Rupert,CA,2022-05-06 05:17:34,54.3161,-130.3201,44.29,80,0,9.22
173,Kitoy,RU,2022-05-06 05:20:36,52.6,103.9,59.88,26,96,16.11
174,Saint-Philippe,RE,2022-05-06 05:20:37,-21.3585,55.7679,80.19,83,68,16.71
175,Matagalpa,NI,2022-05-06 05:20:37,12.9256,-85.9175,69.58,93,44,3.98
176,Baker City,US,2022-05-06 05:20:17,44.7749,-117.8344,51.51,66,0,0.0
177,Sanandaj,IR,2022-05-06 05:20:38,35.3144,46.9923,59.02,48,0,0.0
178,Pevek,RU,2022-05-06 05:20:38,69.7008,170.3133,29.97,87,92,4.65
179,Hermanus,ZA,2022-05-06 05:20:37,-34.4187,19.2345,58.26,86,72,7.67
180,Golden,US,2022-05-06 05:20:39,39.7555,-105.2211,57.67,48,0,5.75
181,Cherskiy,RU,2022-05-06 05:20:39,68.75,161.3,35.46,99,100,8.72
182,San Policarpo,PH,2022-05-06 05:20:40,12.1791,125.5072,84.78,72,67,10.2
183,Conceicao Do Araguaia,BR,2022-05-06 05:21:40,-8.2578,-49.2647,72.23,94,16,1.81
184,Lagoa,PT,2022-05-06 05:21:41,39.05,-27.9833,62.01,87,100,30.27
185,Ocean City,US,2022-05-06 05:21:41,39.2776,-74.5746,55.02,86,100,5.99
186,Rawson,AR,2022-05-06 05:20:53,-43.3002,-65.1023,57.67,62,50,7.47
187,Talnakh,RU,2022-05-06 05:21:42,69.4865,88.3972,18.21,84,99,15.73
188,Garissa,KE,2022-05-06 05:21:42,-0.4536,39.6401,79.52,71,80,18.41
189,Tayu,ID,2022-05-06 05:21:43,-6.5397,111.0518,88.79,61,38,7.11
190,Kupang,ID,2022-05-06 05:21:44,-10.1667,123.5833,88.18,58,16,9.24
191,Puerto Del Rosario,ES,2022-05-06 05:21:44,28.5004,-13.8627,64.15,72,0,9.22
192,Ketchikan,US,2022-05-06 05:21:45,55.3422,-131.6461,46.38,81,40,6.91
193,Liberty,US,2022-05-06 05:21:45,31.8335,-81.5004,77.27,43,0,3.44
194,Kalangala,UG,2022-05-06 05:21:45,-0.3089,32.225,69.15,77,93,10.18
